#Steps ,and Temp, are followed by (rej, acc) for each MC Move.
#(nStep, T) TRANS CLSTER SM_CLSTER FACE LOCAL DBPVT PIVOT BR_ROT
0	20.00	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3000000	20.00	769677	0	721764	46002	767371	0	123440	3996	121831	6082	125929	1532	75891	952	5036	58	71377	5188	73265	3916	61618	15073	
6000000	20.00	768329	0	767194	680	767298	0	127419	8	128221	3	127770	0	77157	0	5114	0	72920	3870	72774	3832	59078	18332	
9000000	20.00	768330	0	767096	284	768079	0	127903	9	127648	1	128183	0	76865	0	5106	0	73138	3702	72856	3848	58536	18415	
13000001	1.30	448258	574874	1022833	1221	1024473	39	171391	8	170042	1	170602	0	102241	0	6864	0	97065	5146	97424	5203	77563	24753	
16000001	1.09	227338	540352	764061	5654	767484	483	128768	27	127658	37	127140	0	76420	0	4990	0	72621	3813	72788	3843	58117	18405	
19000001	1.03	246409	521131	742677	24446	763392	4850	128175	237	127481	609	127782	0	77237	0	5052	0	72303	4072	73074	3826	59573	17673	
22000001	1.01	257265	511335	706403	61033	746291	19980	127425	1072	125246	3125	128530	0	77206	0	5179	0	71850	4858	72384	3811	61876	15131	
25000001	1.00	253196	515300	644228	123602	713400	55423	123539	4158	116959	11146	122521	4856	73375	3523	5122	1	69367	7420	72212	3968	66821	9862	
28000001	1.00	225165	542533	565872	202630	686988	81380	117190	10405	103699	24022	109535	18277	61225	15452	3411	1664	65938	11160	72846	3820	72987	3800	
31000001	1.00	212338	554610	541346	226516	683774	84786	115337	12430	100711	27054	105816	22912	56307	20112	1116	4083	65287	11829	72600	3806	74760	2469	
34000001	1.00	206053	562119	529705	237710	683974	83784	114432	13277	100690	27651	103365	24816	54071	22479	3147	1951	64809	12159	72786	3929	74780	2312	
37000001	1.00	205109	562131	526473	241902	682030	85907	114641	13806	101002	26874	103542	24263	54059	22949	3247	1822	64792	11916	72814	3970	74391	2360	
40000001	1.00	202968	564014	524215	244681	681702	86482	114180	14063	101057	26952	103474	24564	53185	23143	1308	3799	64640	12007	72878	3854	74463	2371	
43000001	1.00	207760	560224	528790	238479	679528	89338	114227	13416	102230	26063	105570	22647	55794	20674	4201	927	65024	11579	73215	3771	74098	2445	
46000001	1.00	207195	561431	526503	241357	679695	88620	114896	13481	101039	26671	103818	23538	55165	21720	2944	2186	64937	12007	72557	3737	74214	2288	
49000001	1.00	212074	556949	532715	235322	676786	91171	114628	12916	102805	25026	106181	21413	57309	19769	1560	3508	65112	11475	73025	3894	73822	2539	
52000001	1.00	208939	559757	528664	238572	678059	90529	114519	13157	102265	25191	105341	22561	56762	20094	3086	2184	65073	11391	72980	3955	74456	2465	
55000001	1.00	207264	560294	528330	239516	677900	90679	114945	13394	101755	26584	105149	22930	55190	21478	2487	2649	64858	11786	72729	3812	74053	2218	
58000001	1.00	202893	565141	522355	245718	679800	88678	114001	13909	100234	27687	103899	24089	54264	22437	4860	205	64467	12039	72391	3828	75128	1976	
61000001	1.00	202923	564866	522859	245692	677997	88525	114676	13789	100763	27052	103637	24354	53811	22785	2972	2171	64932	12122	73259	3879	74726	2210	
64000001	1.00	203811	562829	522869	244595	678753	90139	114169	13696	101271	26627	104455	23424	55443	22007	3883	1169	65537	11830	72977	3766	74601	2149	
67000001	1.00	205592	562134	525616	242228	679981	88262	114325	13664	101211	26748	104252	23953	54670	21868	5055	0	65047	11937	72761	3844	74506	2346	
70000001	1.00	207154	558981	529231	239844	678890	89491	114321	13489	102121	25666	104889	23167	55128	21312	5171	12	65235	11817	73127	3815	74587	2552	
73000001	1.00	207459	561045	528007	239426	679831	88033	114736	13426	101779	26080	104576	22896	55593	21305	5151	0	65365	11665	72988	3797	74269	2573	
76000001	1.00	207737	560468	529658	237829	679309	88927	115541	13078	101788	26274	104738	23076	55740	21313	5074	12	64798	11697	72897	3794	73583	2669	
79000001	1.00	206227	562613	526888	240407	679940	87831	114494	13256	101468	25729	104747	23386	55359	21450	4870	208	65140	11748	73084	3806	74788	2560	
82000001	1.00	206909	561752	528854	239188	679757	87398	114353	13440	101865	26242	104554	23662	55020	21965	5177	1	64815	11571	72999	3851	74045	2581	
85000001	1.00	204000	563173	522848	244614	681564	87072	113822	13834	100834	27199	103362	24907	54256	22966	3786	1370	64556	12025	73191	3802	74555	2264	
88000001	1.00	202592	564687	522677	245230	681022	86979	114080	14054	101637	27461	103983	24290	54154	22369	4899	272	64297	11924	72580	3970	74552	2291	
91000001	1.00	203611	565072	522687	244810	679861	88510	114198	13783	101500	26553	103759	23619	54365	22161	3719	1424	64839	11889	73023	3797	74388	2431	
94000001	1.00	200499	566960	518320	250635	680014	88307	113566	14330	100223	27452	103295	24900	53163	23236	3314	1886	64552	11993	72363	3883	75089	2020	
97000001	1.00	200228	566943	518630	249504	680585	88240	114202	14307	100680	27330	103029	24733	53148	23382	2086	2982	64607	12137	72927	3800	74487	2032	
100000001	1.00	204662	564007	523215	244436	678924	88835	114303	13917	101689	26190	103767	23813	54456	22590	4081	998	64924	11863	72869	3785	74474	2201	
103000001	1.00	203496	564375	521972	246180	676942	90719	114150	13775	100988	26231	105430	23218	54761	21200	2373	2820	65418	12052	72695	3945	74975	2285	
106000001	1.00	205830	562846	524353	243417	677077	90503	114059	13314	101950	26270	105228	23134	56067	20909	4285	727	64808	11712	72815	3829	74459	2407	
109000001	1.00	206309	561877	525152	242188	677563	89803	113998	13837	101992	26033	105321	23179	55275	21527	4798	445	64890	11616	73126	3901	74742	2428	
112000001	1.00	206012	561332	526671	241726	678993	89332	114089	13569	102052	25765	104756	23341	55367	21728	1346	3615	64956	11639	73054	3840	74247	2570	
115000001	1.00	204344	563421	525666	243299	679159	87882	114792	13601	101652	26200	104591	23717	54486	22338	5024	100	64804	11844	72595	3792	74404	2289	
118000001	1.00	207615	559325	527122	240833	678626	89505	114917	13251	101139	26668	104670	23117	55988	21140	5249	0	64860	11757	73084	3799	75101	2232	
121000001	1.00	204594	563735	524709	242921	680184	87242	114826	13623	101707	26435	103862	24035	53835	22820	5074	0	64933	11749	73025	3805	74421	2465	
124000001	1.00	204692	562935	525166	242846	679783	88242	114312	13563	102345	25765	104822	23418	55311	21506	3724	1496	65027	11686	72592	3902	74441	2425	
127000001	1.00	203185	565216	523392	244269	680609	87564	114051	13927	101189	26678	103579	24337	54362	22514	5133	10	64616	12002	72658	3875	74550	2284	
130000001	1.00	204181	563768	523998	243839	678955	89339	114352	13780	101267	26453	104394	23714	54747	21960	1557	3458	64753	11800	73094	3784	74572	2235	
133000001	1.00	208069	560504	527884	239327	678135	90168	114794	13511	101673	26475	104958	23157	56486	20130	691	4449	65475	11724	72422	3801	73993	2174	
136000001	1.00	207281	562220	527152	240481	676993	89529	114597	13299	100268	27407	104745	23396	55556	21076	2457	2690	64810	12141	73164	3853	74793	2091	
139000001	1.00	208708	559546	529005	238193	678747	90102	114559	13320	101912	26244	105188	22561	56667	20338	2461	2718	64878	11689	72710	3865	74265	2324	
142000001	1.00	203497	564497	522720	245377	679542	88024	114031	13976	100370	27384	103756	24259	54204	22821	2025	2937	64687	12051	73301	3867	74636	2038	
145000001	1.00	204365	563570	525108	242651	679629	88681	114633	13641	100184	27546	104140	24003	54216	22293	4682	419	64279	12010	73107	3844	74840	2159	
148000001	1.00	204631	563374	525071	242938	679264	89416	114386	13523	101636	26331	104236	23198	54707	21709	3863	1184	64787	11819	73135	3870	74624	2298	
151000001	1.00	204931	562656	524740	243612	679512	89001	114108	13533	100935	26776	104568	23453	54349	21899	3400	1758	65143	11993	73242	3781	74521	2088	
154000001	1.00	204444	562636	522353	244212	680627	88850	114290	13699	101121	26886	103708	23695	54646	22706	5007	0	64999	12058	73061	3713	75127	2162	
157000001	1.00	204908	563704	524034	243838	679258	88931	113802	13793	100678	27187	104121	24400	54300	22162	5148	0	64619	11902	72866	3939	74315	2095	
160000001	1.00	204365	561740	525186	244034	679123	88460	114389	13734	101115	27453	104049	24305	54425	22428	1569	3565	64238	12101	73102	3796	74627	2196	
163000001	1.00	207841	560399	528576	240021	677509	90088	114232	13151	101972	26205	104457	23175	55539	21247	1072	4146	64842	11536	73628	3721	74244	2399	
166000001	1.00	211219	556387	535715	233040	677248	90543	115345	12992	102947	24973	106126	21808	57689	19523	3545	1606	65144	11348	72439	3815	73773	2773	
169000001	1.00	207193	561125	526268	242188	677517	89785	114391	13422	100961	26488	103983	23698	55320	21786	3304	1796	64730	11701	73099	3864	75075	2306	
172000001	1.00	205945	564213	523925	243062	678243	89119	114256	13775	101840	25797	104531	23271	54977	21976	1175	3903	64769	11686	73385	3884	73840	2428	
175000001	1.00	207233	558841	529655	238785	678876	89690	114904	13189	102464	25961	104979	22837	56534	20419	3752	1453	65421	11820	72705	3950	74190	2340	
178000001	1.00	206235	561402	526010	241137	678870	89375	115007	13484	101988	26320	105301	22916	55745	20912	3775	1343	65017	11770	72706	3884	74467	2336	
181000001	1.00	209242	558777	529446	237842	676799	91416	114798	13362	102754	25356	105453	22389	56958	20124	2423	2612	64942	11461	73395	3781	74148	2522	
184000001	1.00	204765	561821	524351	244015	679969	89471	114176	13679	101693	26239	104030	23622	55392	21524	4842	235	64927	11723	72712	3907	74414	2493	
187000001	1.00	203892	563769	522288	245327	681318	88053	113989	13801	101092	26782	103802	23681	54539	22623	3270	1887	65239	11787	72778	3765	73994	2322	
190000001	1.00	205300	562575	525249	242920	679088	88979	114147	13658	100670	26620	104015	23494	54792	21873	1095	4046	65464	12058	73741	3853	74195	2167	
