#step	total	overlap	contact	SC-SC	stiff
0	-1168.0	0.0	0.0	-1168.0	0.0
0	-1232.0	0.0	0.0	-1232.0	0.0
3000000	-852.0	0.0	0.0	-852.0	0.0
6000000	-822.0	0.0	0.0	-822.0	0.0
9000000	-908.0	0.0	0.0	-908.0	0.0
12000000	-862.0	0.0	0.0	-862.0	0.0
15000000	-904.0	0.0	0.0	-904.0	0.0
18000000	-852.0	0.0	0.0	-852.0	0.0
21000000	-908.0	0.0	0.0	-908.0	0.0
24000000	-846.0	0.0	0.0	-846.0	0.0
27000000	-856.0	0.0	0.0	-856.0	0.0
30000000	-994.0	0.0	0.0	-994.0	0.0
33000000	-974.0	0.0	0.0	-974.0	0.0
36000000	-922.0	0.0	0.0	-922.0	0.0
39000000	-990.0	0.0	0.0	-990.0	0.0
42000000	-842.0	0.0	0.0	-842.0	0.0
45000000	-940.0	0.0	0.0	-940.0	0.0
48000000	-918.0	0.0	0.0	-918.0	0.0
51000000	-964.0	0.0	0.0	-964.0	0.0
54000000	-938.0	0.0	0.0	-938.0	0.0
57000000	-852.0	0.0	0.0	-852.0	0.0
60000000	-876.0	0.0	0.0	-876.0	0.0
63000000	-742.0	0.0	0.0	-742.0	0.0
66000000	-920.0	0.0	0.0	-920.0	0.0
69000000	-864.0	0.0	0.0	-864.0	0.0
72000000	-952.0	0.0	0.0	-952.0	0.0
75000000	-872.0	0.0	0.0	-872.0	0.0
78000000	-918.0	0.0	0.0	-918.0	0.0
81000000	-954.0	0.0	0.0	-954.0	0.0
84000000	-862.0	0.0	0.0	-862.0	0.0
87000000	-922.0	0.0	0.0	-922.0	0.0
90000000	-952.0	0.0	0.0	-952.0	0.0
93000000	-924.0	0.0	0.0	-924.0	0.0
96000000	-940.0	0.0	0.0	-940.0	0.0
99000000	-882.0	0.0	0.0	-882.0	0.0
102000000	-862.0	0.0	0.0	-862.0	0.0
105000000	-896.0	0.0	0.0	-896.0	0.0
108000000	-880.0	0.0	0.0	-880.0	0.0
111000000	-852.0	0.0	0.0	-852.0	0.0
114000000	-878.0	0.0	0.0	-878.0	0.0
117000000	-924.0	0.0	0.0	-924.0	0.0
120000000	-884.0	0.0	0.0	-884.0	0.0
123000000	-1018.0	0.0	0.0	-1018.0	0.0
126000000	-990.0	0.0	0.0	-990.0	0.0
129000000	-858.0	0.0	0.0	-858.0	0.0
132000000	-958.0	0.0	0.0	-958.0	0.0
135000000	-864.0	0.0	0.0	-864.0	0.0
138000000	-946.0	0.0	0.0	-946.0	0.0
141000000	-922.0	0.0	0.0	-922.0	0.0
144000000	-884.0	0.0	0.0	-884.0	0.0
147000000	-868.0	0.0	0.0	-868.0	0.0
150000000	-814.0	0.0	0.0	-814.0	0.0
153000000	-896.0	0.0	0.0	-896.0	0.0
156000000	-914.0	0.0	0.0	-914.0	0.0
159000000	-958.0	0.0	0.0	-958.0	0.0
162000000	-834.0	0.0	0.0	-834.0	0.0
165000000	-794.0	0.0	0.0	-794.0	0.0
168000000	-866.0	0.0	0.0	-866.0	0.0
171000000	-850.0	0.0	0.0	-850.0	0.0
174000000	-868.0	0.0	0.0	-868.0	0.0
177000000	-854.0	0.0	0.0	-854.0	0.0
180000000	-878.0	0.0	0.0	-878.0	0.0
183000000	-864.0	0.0	0.0	-864.0	0.0
186000000	-956.0	0.0	0.0	-956.0	0.0
189000000	-940.0	0.0	0.0	-940.0	0.0
192000000	-872.0	0.0	0.0	-872.0	0.0
195000000	-858.0	0.0	0.0	-858.0	0.0
198000000	-862.0	0.0	0.0	-862.0	0.0
201000000	-926.0	0.0	0.0	-926.0	0.0
204000000	-918.0	0.0	0.0	-918.0	0.0
207000000	-846.0	0.0	0.0	-846.0	0.0
210000000	-922.0	0.0	0.0	-922.0	0.0
213000000	-876.0	0.0	0.0	-876.0	0.0
216000000	-906.0	0.0	0.0	-906.0	0.0
219000000	-930.0	0.0	0.0	-930.0	0.0
222000000	-978.0	0.0	0.0	-978.0	0.0
225000000	-920.0	0.0	0.0	-920.0	0.0
228000000	-952.0	0.0	0.0	-952.0	0.0
231000000	-938.0	0.0	0.0	-938.0	0.0
234000000	-940.0	0.0	0.0	-940.0	0.0
237000000	-894.0	0.0	0.0	-894.0	0.0
240000000	-880.0	0.0	0.0	-880.0	0.0
243000000	-924.0	0.0	0.0	-924.0	0.0
246000000	-812.0	0.0	0.0	-812.0	0.0
249000000	-924.0	0.0	0.0	-924.0	0.0
