#Steps ,and Temp, are followed by (rej, acc) for each MC Move.
#(nStep, T) TRANS CLSTER SM_CLSTER FACE LOCAL DBPVT PIVOT BR_ROT
0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	
3000000	1.25	146033	621305	454432	313088	707290	61148	107569	20458	89140	39446	82107	46584	37011	39850	2299	2819	61815	14583	72832	3820	75388	983	
6000000	1.25	124052	642732	425783	342494	717628	49664	105147	23599	85995	42370	72860	55375	26973	49932	2837	2283	61751	15279	72766	3818	76250	411	
9000000	1.25	124252	643432	426140	341782	719097	49811	105167	23300	85192	41799	73019	54906	27427	49060	2684	2492	61250	15382	72834	3849	76707	418	
12000000	1.25	124204	643874	424000	343567	717428	49596	104414	23688	85691	41964	72535	55114	26411	50459	2634	2592	62034	15316	73733	3870	76483	393	
15000000	1.25	125185	642537	426215	341860	718016	49660	105046	23052	86080	41589	73379	54839	27265	49743	2825	2366	61176	15425	73191	3794	76361	396	
18000000	1.25	124614	644032	426479	342480	716253	50069	104620	23572	85962	41776	72508	55149	26928	49900	2818	2239	61836	15363	72884	3707	76401	410	
21000000	1.25	122611	645107	424710	343767	720421	48581	104581	23383	85761	42250	72280	55578	26205	50221	2478	2580	61045	15207	72511	3896	76479	348	
24000000	1.25	123933	644139	425782	343076	717615	49428	104468	23392	86042	42192	72850	55263	26885	50012	2662	2467	61547	15357	72499	3909	76056	426	
27000000	1.25	125066	644002	426621	340521	717450	48980	104921	23468	86152	42266	73785	54733	27110	49857	2860	2172	61012	15391	72830	3837	76558	407	
30000000	1.25	123853	643782	424907	343559	718274	49589	104164	23780	85910	42330	72416	55569	26723	50105	2569	2542	61376	15272	72697	3819	76361	403	
33000000	1.25	125235	643982	426373	341130	718447	49911	104851	23527	85768	42095	72575	54393	27211	49290	2764	2338	61397	15347	72756	3840	76361	409	
36000000	1.25	124355	643327	425382	342553	718373	49604	104611	23652	86264	42223	72864	55198	27148	49855	2781	2312	61039	15349	72855	3817	76024	412	
39000000	1.25	123612	644496	423956	343169	719247	48919	105073	23757	85730	41637	72193	55285	26373	50843	2626	2453	61508	15215	72942	3833	76733	400	
42000000	1.25	124070	644955	424639	342471	717465	49862	104639	23325	86320	41953	73068	54870	26767	49898	2790	2381	61829	15287	72755	3784	76497	375	
